"Address","Zip","2016-2020","2021-2025","change","perct_change"
"2208 MECCA DR",37214,1,0,-1,-100
"2208 NOLENSVILLE PKE",37210,1,0,-1,-100
"2209 CRYSTAL SPRING LN",37076,1,0,-1,-100
"2209 MAPLECREST DR",37214,1,0,-1,-100
"221 2ND AV N",37201,1,0,-1,-100
"221 31ST AVE N",37203,1,0,-1,-100
"221 4TH AVE N",37219,1,0,-1,-100
"221 5TH AVE N",37219,1,0,-1,-100
"221 CROSSINGS PL",37013,4,3,-1,-25
"221 CURTIS HOLLOW RD",37013,1,0,-1,-100
"221 DANYACREST DR",37214,1,0,-1,-100
"221 SHAWN DR",37211,1,0,-1,-100
"221 TRAILS CIR",37076,1,0,-1,-100
"221 WESTFIELD DR",37221,1,0,-1,-100
"221 WINDSOR TERRACE DR",37221,1,0,-1,-100
"2210 GALLATIN PIKE N",37115,1,0,-1,-100
"2210 STATE ST",37203,1,0,-1,-100
"2211 BANDYWOOD DR",37215,1,0,-1,-100
"2211 HAMPTON AVE",37215,1,0,-1,-100
"2211 TERRACE AV",37218,1,0,-1,-100
"2212 11TH AVE S",37204,1,0,-1,-100
"2212 ELLIOTT DR",37138,1,0,-1,-100
"2212 LINDELL AVE",37204,1,0,-1,-100
"2212 S ASHFORD",37214,1,0,-1,-100
"2214 CRESTLINE DR",37214,1,0,-1,-100
"2214 HOBSON PKE",37013,1,0,-1,-100
"2215 ABBOTT MARTIN RD",37215,1,0,-1,-100
"2216 30TH AV S",37212,1,0,-1,-100
"2216 ALBION ST",37208,1,0,-1,-100
"2217 LEBANON PKE",37214,1,0,-1,-100
"2217 SHOREWOOD PATH",37013,1,0,-1,-100
"2218 HOBSON PKE",37013,1,0,-1,-100
"2219 NOLENSVILLE PIKE",37211,1,0,-1,-100
"222 2ND AV S",37201,1,0,-1,-100
"222 4TH AVE N",37219,1,0,-1,-100
"222 5TH AVE S",37203,1,0,-1,-100
"222 BURNING TREE DR",37076,1,0,-1,-100
"222 GALLATIN PIKE S",37115,4,3,-1,-25
"222 HEADY DR",37205,1,0,-1,-100
"222 WHEELER AVE",37211,1,0,-1,-100
"2222 CARTER AV",37206,1,0,-1,-100
"2222 RIDGECREST DR",37216,1,0,-1,-100
"2222 ROSA L PARKS BLVD",37228,1,0,-1,-100
"2222 WICKSON AV",37210,1,0,-1,-100
"2223 WHITES CREEK PIKE",37207,1,0,-1,-100
"2223 WHITES CREEK PKE",37207,2,1,-1,-50
"2225 FOSTER AV",37210,1,0,-1,-100
"2225 NOLENSVILLE PKE",37211,1,0,-1,-100
"2228 GALLATIN PKE N",37115,1,0,-1,-100
"223 ANTHONY ST",37138,1,0,-1,-100
"223 JOYNER AVE",37210,1,0,-1,-100
"223 LARGO DR",37211,1,0,-1,-100
"223 NORTHCREEK BLVD",37072,1,0,-1,-100
"223 PEAR ORCHARD DR",37072,1,0,-1,-100
"223 SOUTHWOOD PARK PL",37217,1,0,-1,-100
"223 WILLOW LN",37211,1,0,-1,-100
"2231 FOSTER AVE",37210,1,0,-1,-100
"2232 GRANDVIEW AV",37211,1,0,-1,-100
"2233 MAPLECREST DR",37214,1,0,-1,-100
"2234 MAPLECREST DR",37214,1,0,-1,-100
"2236 KLINE AV",37211,1,0,-1,-100
"2237 FOSTER AV",37210,1,0,-1,-100
"2238 CRUZEN ST",37211,1,0,-1,-100
"2238 MAPLECREST DR",37214,1,0,-1,-100
"224 BONNABROOK DR",37076,1,0,-1,-100
"224 CHERRY ST",37115,1,0,-1,-100
"224 S 4TH ST",37206,1,0,-1,-100
"2241B CASTLEMAN DR",37215,1,0,-1,-100
"2244 KLINE AVE",37211,1,0,-1,-100
"225 BAKERTOWN RD",37211,1,0,-1,-100
"225 BRAWNER AV",37115,1,0,-1,-100
"225 CRAIGHEAD AV",37205,1,0,-1,-100
"225 MACFIE DR",37115,1,0,-1,-100
"225 WILEY ST",37115,1,0,-1,-100
"2253 GALLATIN PKE N",37115,1,0,-1,-100
"2258 LEBANON PKE",37214,1,0,-1,-100
"226 5TH AVE N",37219,1,0,-1,-100
"226 BURNING TREE DR",37076,1,0,-1,-100
"226 DAVENPORT DR",37217,1,0,-1,-100
"226 WAUFORD DR",37211,1,0,-1,-100
"2260 NASHBORO BLVD",37217,1,0,-1,-100
"2261 MURFREESBORO PIKE",37013,1,0,-1,-100
"2261 MURFREESBORO PKE",37013,1,0,-1,-100
"2268 MURFREESBORO PIKE",37217,1,0,-1,-100
"227 CARTWRIGHT ST",37072,1,0,-1,-100
"227 DONELSON HILLS DR",37214,1,0,-1,-100
"227 FOREST PARK RD",37115,1,0,-1,-100
"227 YELTON CT",37211,1,0,-1,-100
"2271 NEELYS BEND RD",37115,1,0,-1,-100
"228 BIRDWELL CT",37072,1,0,-1,-100
"228 DELLWAY VILLA RD",37207,1,0,-1,-100
"228 MARGO LN",37211,1,0,-1,-100
"228 SAILBOAT DR",37217,1,0,-1,-100
"228 W TRINITY LN",37207,2,1,-1,-50
"228 WARRIOR RD",37115,1,0,-1,-100
"2285 GALLATIN PIKE N",37115,1,0,-1,-100
"2285 MURFREESBORO PIKE",37013,1,0,-1,-100
"229 15TH AV N",37203,1,0,-1,-100
"229 CEDARCREEK DR",37211,1,0,-1,-100
"229 COLT DR",37221,1,0,-1,-100
"229 JACKSONIAN DR",37076,2,1,-1,-50
"229 WILDGROVE CT",37013,1,0,-1,-100
"2295 GALLATIN PIKE N",37115,1,0,-1,-100
"22ND AV N / CLIFTON AVE",37203,1,0,-1,-100
"23 BELCARO CIR",37215,1,0,-1,-100
"230 BRATTLESBORO PL",37204,1,0,-1,-100
"230 DUPONT AVE",37115,1,0,-1,-100
"230 HARRINGTON AVE",37115,1,0,-1,-100
"230 HILLCREST DR",37115,1,0,-1,-100
"2300 CRUZEN ST",37211,1,0,-1,-100
"2300 DENNYWOOD DR",37214,1,0,-1,-100
"2300 FRANKLIN PKE",37204,1,0,-1,-100
"2300 PATTERSON ST",37203,1,0,-1,-100
"2301 STEWARTS FERRY PKE",37076,1,0,-1,-100
"2301 UNDERWOOD ST",37208,1,0,-1,-100
"2302 BRICK CHURCH PKE",37207,1,0,-1,-100
"2302 LINDELL AV",37204,1,0,-1,-100
"2302 ST LOUIS ST",37208,1,0,-1,-100
"2303 ST LOUIS ST",37208,1,0,-1,-100
"2304 HOBSON PKE",37013,1,0,-1,-100
"2304 MILTON DR",37216,1,0,-1,-100
"2304 MURFREESBORO PKE",37217,1,0,-1,-100
"2304 NASHBORO BLVD",37217,1,0,-1,-100
"2306 MURFREESBORO PKE",37217,1,0,-1,-100
"2306 SEIFRIED ST",37208,1,0,-1,-100
"2307 CRYSTAL SPRING LN",37076,1,0,-1,-100
"2307 LLOYD AVE",37218,1,0,-1,-100
"2307 MATTIE ST",37218,1,0,-1,-100
"2308 MURFREESBORO PKE",37217,1,0,-1,-100
"2308 PEAK HILL CV",37211,1,0,-1,-100
"2308 WATERFORD CIR",37221,1,0,-1,-100
"2309 ALAMEDA ST",37208,1,0,-1,-100
"2309 AUBREY DR",37214,1,0,-1,-100
"2309 NORTHVIEW AVE",37216,1,0,-1,-100
"231 6TH AV N",37219,1,0,-1,-100
"231 BARKER RD",37214,1,0,-1,-100
"231 BONNALYNN DR",37076,1,0,-1,-100
"231 DINWIDDIE DR",37115,1,0,-1,-100
"231 GIFFORD PL",37080,3,2,-1,-33
"231 JACKSONIAN DR",37076,1,0,-1,-100
"231 OLD HICKORY BLVD W",37115,1,0,-1,-100
"231 OVERBY DR",37013,1,0,-1,-100
"231 WALDEN VILLAGE LN",37210,1,0,-1,-100
"231 WILDBERRY LN",37209,1,0,-1,-100
"2310 26TH AVE N",37208,1,0,-1,-100
"2310 MCGAVOCK PIKE",37216,1,0,-1,-100
"2310 TREVECCA AVE",37206,1,0,-1,-100
"2311 GALLATIN PKE N",37115,1,0,-1,-100
"2311 MURFREESBORO PIKE",37013,1,0,-1,-100
"2311 SHADOW LN",37216,1,0,-1,-100
"2312 BUCHANAN ST",37208,1,0,-1,-100
"2312 CLIFTON AVE",37209,1,0,-1,-100
"2312 DALEBROOK CT",37206,1,0,-1,-100
"2312 VAULX LN",37204,1,0,-1,-100
"2313 DEMARIUS DR",37216,1,0,-1,-100
"2313 DENNYWOOD DR",37214,1,0,-1,-100
"2315 LLOYD AVE",37218,1,0,-1,-100
"2316 TWO RIVERS PKWY",37214,2,1,-1,-50
"2317 DICKERSON PKE",37207,1,0,-1,-100
"2317 FOSTER AV",37210,1,0,-1,-100
"2317 ILOLO ST",37207,1,0,-1,-100
"2317 MURFREESBORO PKE",37013,1,0,-1,-100
"2317 SHADOW LN",37216,1,0,-1,-100
"2318 SWEETWOOD RD",37214,1,0,-1,-100
"2318 W END AVE",37203,1,0,-1,-100
"2319 CASTLEMAN DR",37215,1,0,-1,-100
"2319 DEERWOOD RD",37214,1,0,-1,-100
"2319 FERNWOOD DR",37216,1,0,-1,-100
"232 CROSS TIMBERS DR",37221,1,0,-1,-100
"232 DELLWAY VILLA RD",37207,1,0,-1,-100
"232 GRAYLYNN DR",37214,1,0,-1,-100
"232 HARRINGTON AVE",37115,1,0,-1,-100
"232 HERMITAGE AV",37210,1,0,-1,-100
"2320 COOPER TER",37216,1,0,-1,-100
"2321 23RD AV N",37208,1,0,-1,-100
"2321 HICKORY CLUB DR",37013,1,0,-1,-100
"2321 REVERE PL",37214,1,0,-1,-100
"2321 W END AVE",37212,1,0,-1,-100
"2321 WEST END AV",37212,1,0,-1,-100
"2322 FERNWOOD DR",37216,1,0,-1,-100
"2323 DALEBROOK CT",37206,1,0,-1,-100
"2324 CRESTMOOR RD",37215,1,0,-1,-100
"2325 DICKERSON PIKE",37207,1,0,-1,-100
"2325 ELLISTON PL",37203,1,0,-1,-100
"2325 HICKORY HIGHLANDS DR",37013,1,0,-1,-100
"2327 23RD AV N",37208,1,0,-1,-100
"2329 REVERE PL",37214,1,0,-1,-100
"233 CLEARLAKE DR W",37217,1,0,-1,-100
"233 LONG HOLLOW PKE",37072,1,0,-1,-100
"2330 8TH AVE S",37204,1,0,-1,-100
"2330 JACKSON DOWNS BLVD",37214,1,0,-1,-100
"2330 SMITH SPRINGS RD",37217,1,0,-1,-100
"2331 COOPER TER",37216,1,0,-1,-100
"2331 CROCKER SPRINGS RD",37072,1,0,-1,-100
"2332 HASKELL DR",37013,1,0,-1,-100
"2337 MURFREESBORO PKE",37013,1,0,-1,-100
"2339 REVERE PL",37214,1,0,-1,-100
"234 15TH AV N",37203,1,0,-1,-100
"234 CUMBERLAND CIR",37214,1,0,-1,-100
"234 GALLATIN PKE S",37115,1,0,-1,-100
"234 RIVER OAK CV",37214,1,0,-1,-100
"234 SUSANNAH DR",37209,1,0,-1,-100
"234 THOMPSON LN",37211,3,2,-1,-33
"2340 ELM HILL PKE",37214,2,1,-1,-50
"2340 MURFREESBORO PKE",37217,1,0,-1,-100
"235 5TH AVE N",37219,1,0,-1,-100
"235 DELLWAY VILLA RD",37207,1,0,-1,-100
"235 FAIRWAY DR",37214,1,0,-1,-100
"235 RIDGEWAY DR",37214,1,0,-1,-100
"235 RIVER OAK CV",37214,1,0,-1,-100
"2353 GALLATIN PIKE N",37115,1,0,-1,-100
"236 CROSS TIMBERS DR",37221,1,0,-1,-100
"236 DELLWAY VILLA RD",37207,1,0,-1,-100
"236 HICKORY HOLLOW PL",37013,1,0,-1,-100
"236 MADISON BLVD",37115,1,0,-1,-100
"236 SUSANNAH DR",37209,1,0,-1,-100
"236 VILLAGE GREEN DR",37217,1,0,-1,-100
"2368 HOBSON PIKE",37013,1,0,-1,-100
"237 CARRIAGE DR",37221,1,0,-1,-100
"237 COLT DR",37221,1,0,-1,-100
"237 HEARTHSTONE MANOR LN",37027,1,0,-1,-100
"237 JACKSONIAN DR",37076,1,0,-1,-100
"237 SWIFT DR",37072,1,0,-1,-100
"238 E PALESTINE AV",37115,1,0,-1,-100
"238 ORLANDO AVE",37209,1,0,-1,-100
"238 OVERBY DR",37013,1,0,-1,-100
"2384 LEBANON PIKE",37214,1,0,-1,-100
"2388 LEBANON PKE",37214,1,0,-1,-100
"239 ANTIOCH PKE",37211,1,0,-1,-100
"239 TANKSLEY AVE",37211,1,0,-1,-100
"240 HARRINGTON AVE",37115,1,0,-1,-100
"240 JACKSONIAN DR",37076,3,2,-1,-33
"240 PAYSON COURT",37211,1,0,-1,-100
"240 PAYSON CT",37211,1,0,-1,-100
"240 TUSCULUM RD",37013,1,0,-1,-100
"2400 14TH AVE N",37208,1,0,-1,-100
"2400 ANTIOCH PKE",37013,1,0,-1,-100
"2400 CHARLOTTE AVE",37203,1,0,-1,-100
"2400 GARLAND AVE",37212,1,0,-1,-100
"2400 PATTERSON ST",37203,1,0,-1,-100
"2400 PLEASANT SPRINGS LN",37076,1,0,-1,-100
"2400 WEST END AV",37203,1,0,-1,-100
"2400 WHITE AVE",37204,1,0,-1,-100
"2401 BURCH ST",37208,1,0,-1,-100
"2401 W END AVE",37203,1,0,-1,-100
"2402 ALPINE AVE",37218,1,0,-1,-100
"2402 BARCLAY DR",37206,1,0,-1,-100
"2402 CHARLOTTE AV",37203,1,0,-1,-100
"2402 PAFFORD DR",37206,1,0,-1,-100
"2403 CRYSTAL SPRING LN",37076,1,0,-1,-100
"2403 ELLIOTT DR",37138,1,0,-1,-100
"2403 HAMMOND DR",37208,1,0,-1,-100
"2404 BRASHER AVE",37206,1,0,-1,-100
"2404 WATERFORD CIR",37221,1,0,-1,-100
"2405 8TH AV S",37204,1,0,-1,-100
"2405 ALAMEDA ST",37208,1,0,-1,-100
"2405 GLENROSE AVE",37210,1,0,-1,-100
"2405 UNDERWOOD ST",37208,1,0,-1,-100
"2406 25TH AVE N",37208,1,0,-1,-100
"2406 GREGORY DR",37216,1,0,-1,-100
"2406 MAPLECREST DR",37214,1,0,-1,-100
"2407 25TH AVE N",37208,1,0,-1,-100
"2407 BRICK CHURCH PKE",37207,1,0,-1,-100
"2407 SCOVEL ST",37208,1,0,-1,-100
"2408 DUNDEE LN",37214,1,0,-1,-100
"2408 ELLISTON PL",37203,1,0,-1,-100
"2408 HASKELL DR",37013,1,0,-1,-100
"2408 LAZENBY DR",37206,1,0,-1,-100
"2408 MELBOURNE DR",37214,1,0,-1,-100
"2409 PORTER RD",37206,1,0,-1,-100
"241 BONNACROFT DR",37076,1,0,-1,-100
"241 BONNAFIELD DR",37076,1,0,-1,-100
"241 GRAEME DR",37214,1,0,-1,-100
"241 OCEANFRONT CIR S",37013,1,0,-1,-100
"241 WARRIOR RD",37115,1,0,-1,-100
"2410 BRASHER AVE",37206,1,0,-1,-100
"2410 CHARLOTTE AV",37203,1,0,-1,-100
"2410 ELLIOTT DR",37138,1,0,-1,-100
"2410 MAPLECREST DR",37214,1,0,-1,-100
"2411 LAKESHORE DR",37138,1,0,-1,-100
"2412 18TH AVE N",37208,1,0,-1,-100
"2412 25TH AVE N",37208,1,0,-1,-100
"2412 PONDEROSA WAY",37013,1,0,-1,-100
"2413 14TH AV N",37208,1,0,-1,-100
"2413 ALBION ST",37208,1,0,-1,-100
"2413 VALLEY BROOK RD",37215,1,0,-1,-100
"2413 WHITES CREEK PIKE",37207,1,0,-1,-100
"2414 DOWLAN ST",37208,1,0,-1,-100
"2414 EDEN ST",37208,1,0,-1,-100
"2414 WOODALE LN",37207,1,0,-1,-100
"2415 MCGAVOCK PKE",37214,1,0,-1,-100
"2415 MCGINNIS DR",37216,1,0,-1,-100
"2415 SELMA AV",37214,1,0,-1,-100
"2416 25TH AVE N",37208,1,0,-1,-100
"2416 CARTER AVE",37206,1,0,-1,-100
"2416 MERRY ST",37208,1,0,-1,-100
"2416 PLUM ST",37207,1,0,-1,-100
"2416 W END AVE",37203,1,0,-1,-100
"2417 GARDNER LN",37207,1,0,-1,-100
"2417 LEBANON PIKE",37214,1,0,-1,-100
"2417 LITTLE AVE",37206,1,0,-1,-100
"2418 14TH AVE N",37228,1,0,-1,-100
"2419 BRICK CHURCH PKE",37207,1,0,-1,-100
"2419 MURFREESBORO PKE",37013,1,0,-1,-100
"242 GLENROSE AVE",37210,1,0,-1,-100
"242 HARPER RIDGE PL",37013,1,0,-1,-100
"242 LAKE CHATEAU DR",37076,1,0,-1,-100
"2420 14TH AV N",37228,1,0,-1,-100
"2420 14TH AVE N",37228,1,0,-1,-100
"2420 CRYSTAL SPRING LN",37076,1,0,-1,-100
"2420 KENSINGTON PL",37212,1,0,-1,-100
"2421 LEBANON PKE",37214,1,0,-1,-100
"2421 MURFREESBORO PIKE",37013,1,0,-1,-100
"2422 EASTLAND AVE",37206,1,0,-1,-100
"2422 MAPLECREST DR",37214,1,0,-1,-100
"2423 ATRIUM WAY",37214,1,0,-1,-100
"2423 GARDNER LN",37207,1,0,-1,-100
"2424 CHARLOTTE AV",37203,1,0,-1,-100
"2425 25TH AV N",37208,1,0,-1,-100
"2425 CABIN HILL RD",37214,1,0,-1,-100
"2425 EDENCREST DR",37013,1,0,-1,-100
"2427 CHAPMAN DR",37206,1,0,-1,-100
"2427 MANSKER DR",37115,1,0,-1,-100
"2427 ROBBIE CT",37214,1,0,-1,-100
"2429 BATAVIA ST",37208,1,0,-1,-100
"243 DUPONT AVE",37115,1,0,-1,-100
"243 LONG HOLLOW PKE",37072,1,0,-1,-100
"243 THISTLE LN",37076,1,0,-1,-100
"2430 24TH AVE N",37208,1,0,-1,-100
"2430 CROCKER SPRINGS RD",37072,1,0,-1,-100
"2431 GALLATIN PIKE N",37115,1,0,-1,-100
"2432 UNION HILL RD",37072,1,0,-1,-100
"2434 INGA ST",37206,1,0,-1,-100
"2434 UNION HILL RD",37072,1,0,-1,-100
"2436 UNION HILL RD",37072,1,0,-1,-100
"2437 VALE LN",37214,1,0,-1,-100
"2438 FAIRBROOK DR",37214,1,0,-1,-100
"244 BONNAFIELD DR",37076,1,0,-1,-100
"244 MORTON AVE",37211,1,0,-1,-100
"2447 25TH AV N",37208,1,0,-1,-100
"2447 BROADVIEW DR",37217,1,0,-1,-100
"2447 DEERPATH DR",37217,1,0,-1,-100
"2448 UNION HILL RD",37072,1,0,-1,-100
"245 BONNALYNN DR",37076,1,0,-1,-100
"245 BROOKRIDGE TRL",37211,1,0,-1,-100
"245 DULING AVE",37115,1,0,-1,-100
"245 GREAT CIRCLE RD",37228,1,0,-1,-100
"245 LISA LN",37210,1,0,-1,-100
"245 ROBINWOOD AVE",37115,1,0,-1,-100
"2452 26TH AVE N",37208,1,0,-1,-100
"2455 PULLEY RD",37214,1,0,-1,-100
"246 5TH AVE N",37219,1,0,-1,-100
"246 CHEROKEE RD",37205,1,0,-1,-100
"246 HARPER RIDGE PL",37013,1,0,-1,-100
"246 WHITE BRIDGE PKE",37209,1,0,-1,-100
"2461 25TH AVE N",37208,1,0,-1,-100
"2461 MCGAVOCK PIKE",37214,1,0,-1,-100
"247 BONNACROFT DR",37076,1,0,-1,-100
"247 BONNALYNN DR",37076,1,0,-1,-100
"247 BUCK RUN DR",37214,1,0,-1,-100
"2471 MCGAVOCK PKE",37214,1,0,-1,-100
"248 DELLWAY VILLA RD",37207,1,0,-1,-100
"248 LISA LN",37210,1,0,-1,-100
"248 TANGLEWOOD CT",37211,1,0,-1,-100
"248 THISTLE LN",37076,1,0,-1,-100
"248 YELTON CT",37211,1,0,-1,-100
"249 HILLCREST DR",37115,1,0,-1,-100
"249 TIMMONS ST",37211,1,0,-1,-100
"2499 26TH AVE N",37208,1,0,-1,-100
"2499 MURFREESBORO PKE",37013,1,0,-1,-100
"24TH ST / ELLIOTT DR",37138,1,0,-1,-100
"25 FAIRWAY DR",37214,1,0,-1,-100
"25 HART ST",37210,1,0,-1,-100
"25 LINCOLN ST",37210,1,0,-1,-100
"250 25TH AV N",37203,1,0,-1,-100
"250 25TH AVE N",37203,3,2,-1,-33
"250 5TH AV S",37203,1,0,-1,-100
"250 BUCK RUN DR",37214,1,0,-1,-100
"2500 BRANSFORD AVE",37204,2,1,-1,-50
"2500 GALLATIN AV",37206,1,0,-1,-100
"2500 GALLATIN AVE",37206,1,0,-1,-100
"2500 W END AVE",37203,1,0,-1,-100
"2501 26TH AVE N",37208,1,0,-1,-100
"2501 FINLAND ST",37208,1,0,-1,-100
"2501 MCGAVOCK PIKE",37214,1,0,-1,-100
"2501 OLD MATTHEWS RD",37207,1,0,-1,-100
"2501 W END AVE",37203,1,0,-1,-100
"2502 TREVECCA AVE",37206,1,0,-1,-100
"2503 DELK AV",37208,1,0,-1,-100
"2503 GALLATIN AVE",37206,1,0,-1,-100
"2503 SANDY DR",37216,1,0,-1,-100
"2504 JENKINS ST",37208,1,0,-1,-100
"2505 BOOKER ST",37208,1,0,-1,-100
"2505 LUMAR LN",37214,1,0,-1,-100
"2505 SKYFALLS WAY",37013,1,0,-1,-100
"2506 HIGHLAND TRACE DR",37207,1,0,-1,-100
"2506 LINCOYA CT",37214,1,0,-1,-100
"2508 BOOKER ST",37208,1,0,-1,-100
"2508 MASHBURN RD",37210,1,0,-1,-100
"2508 SHADOW LN",37216,1,0,-1,-100
"2509 DELK AV",37208,1,0,-1,-100
"251 BRIDGEWAY CIR",37211,1,0,-1,-100
"251 SUNRISE AV",37211,1,0,-1,-100
"251 TOWNES DR",37211,1,0,-1,-100
"2510 ALBION ST",37208,1,0,-1,-100
"2510 LEBANON PKE",37214,1,0,-1,-100
"2510 MURFREESBORO PIKE",37217,1,0,-1,-100
"2510 MURFREESBORO PKE",37217,1,0,-1,-100
"2511 LEBANON PKE",37214,1,0,-1,-100
"2512 SCOVEL ST",37208,1,0,-1,-100
"2513 HERMAN ST",37208,1,0,-1,-100
"2514 25TH AVE N",37208,1,0,-1,-100
"2515 BAKER RD",37072,1,0,-1,-100
"2515 EDGE O LAKE DR",37217,1,0,-1,-100
"2515 ERIN LN",37221,1,0,-1,-100
"2515 SMITH SPRINGS RD",37217,1,0,-1,-100
"2515 UNA ANTIOCH PIKE",37013,1,0,-1,-100
"2516 SMITH SPRINGS RD",37217,1,0,-1,-100
"2517 JOHNSON RIDGE RD",37013,1,0,-1,-100
"2518 BOOKER ST",37208,1,0,-1,-100
"2518 CARTER AVE",37206,2,1,-1,-50
"2518 DICKERSON PKE",37207,1,0,-1,-100
"2519 PARK DR",37214,1,0,-1,-100
"252 LONG HOLLOW PKE",37072,1,0,-1,-100
"252 NESBITT LN",37115,1,0,-1,-100
"2520 CRYSTAL SPRING LN",37076,1,0,-1,-100
"2520 MUSIC VALLEY DR",37214,2,1,-1,-50
"2521 25TH AVE N",37208,1,0,-1,-100
"2521 CLIFTON AVE",37209,1,0,-1,-100
"2521 DELK AVE",37208,1,0,-1,-100
"2521 SKYFALLS WAY",37013,1,0,-1,-100
"2521 WEST END AV",37203,1,0,-1,-100
"2522 BETHWOOD DR",37207,1,0,-1,-100
"2524 DAVID DR",37214,1,0,-1,-100
"2524 HIBBITTS RD",37214,1,0,-1,-100
"2524 STINSON RD",37214,1,0,-1,-100
"2525 LEBANON PIKE",37214,1,0,-1,-100
"2525 PARK GREEN LN",37138,1,0,-1,-100
"2525 WEST END AV",37203,1,0,-1,-100
"2526 BETHWOOD DR",37207,1,0,-1,-100
"2526 DICKERSON PIKE",37207,1,0,-1,-100
"2526 SUNSET PL",37212,1,0,-1,-100
"2528 WHITES CREEK PIKE",37207,1,0,-1,-100
"253 DELLWAY VILLA RD",37207,2,1,-1,-50
"253 EISENHOWER DR",37211,1,0,-1,-100
"253 HILLCREST DR",37115,1,0,-1,-100
"2531 26TH AVE N",37208,1,0,-1,-100
"2531 ELM HILL PKE",37214,1,0,-1,-100
"2532 OLD MATTHEWS RD",37207,1,0,-1,-100
"2535 EDGE O LAKE DR",37217,1,0,-1,-100
"2536 GLENROSE AV",37210,1,0,-1,-100
"2536 HIGHLAND TRACE DR",37207,1,0,-1,-100
"2537 BETHWOOD DR",37207,1,0,-1,-100
"2538 HIBBITTS RD",37214,1,0,-1,-100
"254 DUPONT AVE",37115,1,0,-1,-100
"254 EISENHOWER DR",37211,1,0,-1,-100
"254 TANGLEWOOD CT",37211,1,0,-1,-100
"254 TRAILS CIR",37214,1,0,-1,-100
"2540 PULLEY RD",37214,2,1,-1,-50
"2540 SLAYDON DR",37207,1,0,-1,-100
"2540 STINSON RD",37214,1,0,-1,-100
"2547 EDGE O LAKE DR",37217,1,0,-1,-100
"2547 HIGHLAND TRACE DR",37207,1,0,-1,-100
"2548 GREER RD",37072,1,0,-1,-100
"2550 PARK DR",37214,1,0,-1,-100
"2552 25TH AV N",37208,1,0,-1,-100
"2553 26TH AVE N",37208,1,0,-1,-100
"2554 LAKELAND DR",37214,1,0,-1,-100
"2555 W END AVE",37203,1,0,-1,-100
"256 38TH AVE N",37209,1,0,-1,-100
"256 WILOWEN DR",37210,1,0,-1,-100
"2562 MURFREESBORO PKE",37217,1,0,-1,-100
"2562 WILLOWBRANCH DR",37217,1,0,-1,-100
"2563 TREETOP DR",37013,1,0,-1,-100
"2569 BETHWOOD DR",37207,1,0,-1,-100
"2569 DEVON VALLEY DR",37221,1,0,-1,-100
"257 BECKLEA DR",37115,1,0,-1,-100
"257 BURNING TREE DR",37076,1,0,-1,-100
"2570 MURFREESBORO PIKE",37217,2,1,-1,-50
"2572 MUSIC VALLEY DR",37214,1,0,-1,-100
"258 CEDARVIEW DR",37211,1,0,-1,-100
"258 WILOWEN DR",37210,1,0,-1,-100
"2580 MURFREESBORO PIKE",37217,1,0,-1,-100
"2584 KANLOW DR",37013,2,1,-1,-50
"259 DULING AVE",37115,1,0,-1,-100
"259 LANIER DR",37115,1,0,-1,-100
"259 OCALA DR",37211,1,0,-1,-100
"2591 CROCKER SPRINGS RD",37072,1,0,-1,-100
"25TH AV S / BLAKEMORE AVE",37212,1,0,-1,-100
"260 MADISON BLVD",37115,1,0,-1,-100
"260 WARRIOR RD",37115,1,0,-1,-100
"2600 GALLATIN PIKE",37206,1,0,-1,-100
"2600 GROVESNOR RD",37013,1,0,-1,-100
"2600 HILLSBORO PIKE",37212,1,0,-1,-100
"2600 HILLSBORO PKE",37212,1,0,-1,-100
"2600 JEFFERSON ST",37208,2,1,-1,-50
"2600 JESS NEELY DR",37203,1,0,-1,-100
"2600 MURFREESBORO PKE",37217,1,0,-1,-100
"2601 HIGHVIEW DR",37206,1,0,-1,-100
"2601 HILLSBORO PKE",37212,1,0,-1,-100
"2601 LAKELAND DR",37214,1,0,-1,-100
"2601 MURFREESBORO PKE",37013,1,0,-1,-100
"2602 BETHWOOD DR",37207,1,0,-1,-100
"2603 BELCOURT AVE",37212,1,0,-1,-100
"2604 CRESTWOOD RD",37214,1,0,-1,-100
"2604 EDGE O LAKE DR",37217,1,0,-1,-100
"2604 GALLATIN PKE",37206,1,0,-1,-100
"2604 SKYFALLS CT",37013,1,0,-1,-100
"2606 FRANKLIN PIKE",37204,1,0,-1,-100
"2607 DIXON DR",37206,1,0,-1,-100
"2607 EDGE O LAKE DR",37217,1,0,-1,-100
"2607 MASHBURN CT",37210,1,0,-1,-100
"2607 TIFFANY DR",37206,1,0,-1,-100
"2608 MURFREESBORO PKE",37217,1,0,-1,-100
"2608 OAKWOOD AVE",37207,1,0,-1,-100
"2608 SPARROW GAP TRL",37013,1,0,-1,-100
"2608 TIFFANY DR",37206,1,0,-1,-100
"2608 WOODBERRY DR",37214,1,0,-1,-100
"2609 GALLATIN PKE",37216,1,0,-1,-100
"2610 CLARKSVILLE PIKE",37208,1,0,-1,-100
"2610 WHITES CREEK PIKE",37207,1,0,-1,-100
"2611 8TH AV S",37204,1,0,-1,-100
"2611 BARCLAY DR",37206,1,0,-1,-100
"2611 CLARKSVILLE PKE",37208,1,0,-1,-100
"2611 JONES AV",37207,1,0,-1,-100
"2612 FRANKLIN PIKE",37204,1,0,-1,-100
